Source,Target,Weight
A10UA219PG4Q74,932633013,5
A10UA219PG4Q74,70680396,5
A10UA219PG4Q74,093263317X,4
A10UA219PG4Q74,B0000DK1RV,5
A10UA219PG4Q74,B0000A233T,4
A10UA219PG4Q74,B00006C5B7,4
A10UA219PG4Q74,B0001VX9YC,5
A10UA219PG4Q74,047111023X,4
A10UA219PG4Q74,126445516,4
A10UA219PG4Q74,439784549,4
A10UA219PG4Q74,380715430,1
A10UA219PG4Q74,374204772,3
A10UA219PG4Q74,006073132X,4
A10UA219PG4Q74,B0007XY6QY,4
A10UA219PG4Q74,B0007W0ILM,3
A10UA219PG4Q74,B0000CF2WM,3
A10UA219PG4Q74,B00005LM0S,3
A10UA219PG4Q74,044024157X,4
A10UA219PG4Q74,B0007RTBOC,5
A10UA219PG4Q74,B0001WTWVU,4
A10UA219PG4Q74,B00006BXHY,5
A10UA219PG4Q74,764526308,5
A10UA219PG4Q74,764526316,5
A10UA219PG4Q74,375403736,5
A10UA219PG4Q74,140003065X,5
A10UA219PG4Q74,471393428,3
A10UA219PG4Q74,B00001W0FS,2
A10UA219PG4Q74,B00005B0C3,3
A10UA219PG4Q74,B00004XPOF,3
A10UA219PG4Q74,B00005AG2F,1
A10UA219PG4Q74,B00005AG2G,1
A10UA219PG4Q74,471380237,5
A10UA219PG4Q74,471380237,5
A10UA219PG4Q74,806521651,5
A10UA219PG4Q74,B00005BHWH,1
A10UA219PG4Q74,B00005AKV3,5
A10UA219PG4Q74,B00005AL9A,5
A10UA219PG4Q74,093263348X,4
A10UA219PG4Q74,B00004Y2MN,3
A10UA219PG4Q74,B00005AC8J,5
A10UA219PG4Q74,B00005A8TS,2
A10UA219PG4Q74,B00004TB3O,5
A10UA219PG4Q74,B00005AKV6,2
A10UA219PG4Q74,B00004TB3P,5
A10UA219PG4Q74,B00005ASFK,4
A10UA219PG4Q74,B00005ASFJ,4
A10UA219PG4Q74,B00002SAJG,3
A10UA219PG4Q74,B00004TB3S,4
A10UA219PG4Q74,B00004T2LJ,4
A10UA219PG4Q74,B00005AMDE,4
A10UA219PG4Q74,201616386,4
A10UA219PG4Q74,B00004W3YX,4
A10UA219PG4Q74,735608776,4
A10UA219PG4Q74,1558604537,3
A10UA219PG4Q74,1558604537,3
A10UA219PG4Q74,28637267,5
A10UA219PG4Q74,28637275,5
A10UA219PG4Q74,B00004TB3Q,2
A10UA219PG4Q74,B000056SSM,1
A10UA219PG4Q74,B00004SB92,5
A10UA219PG4Q74,B00004TS16,4
A10UA219PG4Q74,B00004TF4X,4
A10UA219PG4Q74,B00004WCEV,1
A10UA219PG4Q74,B00004ZD8F,5
A10UA219PG4Q74,B00004T0RC,4
A10UA219PG4Q74,B00004TB3P,4
A10UA219PG4Q74,B00004TB3N,5
A10UA219PG4Q74,B00003G1RG,5
A10UA219PG4Q74,B00004TF50,5
A10UA219PG4Q74,B00004TB3L,4
A10UA219PG4Q74,B00004U9WR,5
A10UA219PG4Q74,B00004TB3O,4
A10UA219PG4Q74,72124202,4
A10UA219PG4Q74,B00004T70X,5
A10UA219PG4Q74,B00004T2LJ,5
A10UA219PG4Q74,B0007N7MJM,5
A10UA219PG4Q74,B00004TB3P,5
A10UA219PG4Q74,B00004TB3M,4
A10UA219PG4Q74,440224675,4
A10UA219PG4Q74,932633188,5
A10UA219PG4Q74,B00004T0RC,4
A10UA219PG4Q74,784011176,5
A10UA219PG4Q74,471176494,5
A10UA219PG4Q74,672318687,4
A10UA219PG4Q74,446531324,4
A118GK08650JY7,B0007Y79B2,5
A118GK08650JY7,B00074Z9J6,5
A118GK08650JY7,B0002ZAILY,5
A118GK08650JY7,B0002ZAIM8,5
A118GK08650JY7,B0001LJCZ2,5
A118GK08650JY7,B0000CC83O,5
A118GK08650JY7,B000007QDI,5
A118GK08650JY7,B000002G4U,5
A118GK08650JY7,B000063DG3,5
A118GK08650JY7,B00009J5VZ,5
A118GK08650JY7,B000089RV5,5
A118GK08650JY7,B000007QDI,5
A118GK08650JY7,B000002G4U,5
A118GK08650JY7,B000063DG3,5
A118GK08650JY7,B000089RV5,5
A118GK08650JY7,B000007QDI,5
A118GK08650JY7,B00005JD74,5
A118GK08650JY7,B000059H9F,5
A118GK08650JY7,B00000J2TT,5
A118GK08650JY7,B000001Y40,5
A118GK08650JY7,B000001Y40,5
A118GK08650JY7,B00006JJ3Q,5
A118GK08650JY7,B00006JJ3Q,5
A118GK08650JY7,B0000000JY,5
A118GK08650JY7,B00000062Z,5
A118GK08650JY7,B00000063M,5
A118GK08650JY7,B00000DCWD,5
A118GK08650JY7,B000007NYS,5
A118GK08650JY7,B000001DI6,5
A118GK08650JY7,B000001DFT,5
A118GK08650JY7,B00074Z9OQ,5
A11D1KHM7DVOQK,B000EJ9MT2,1
A11D1KHM7DVOQK,B000ANHGMW,4
A11D1KHM7DVOQK,B000EJ9VIY,4
A11D1KHM7DVOQK,30650542,4
A11D1KHM7DVOQK,B00008V6JO,2
A11D1KHM7DVOQK,B00061IYI8,5
A11D1KHM7DVOQK,B0009PRJZU,5
A11D1KHM7DVOQK,B00009L1V0,3
A11D1KHM7DVOQK,B000BC8VV2,3
A11D1KHM7DVOQK,B0000DFHMM,2
A11D1KHM7DVOQK,B00000J47L,5
A11D1KHM7DVOQK,B0009GJGEG,4
A11D1KHM7DVOQK,B0007DAYYC,3
A11D1KHM7DVOQK,B0007GAEZ8,3
A11D1KHM7DVOQK,B0006ZF53Q,2
A11D1KHM7DVOQK,B00009W42Q,4
A11D1KHM7DVOQK,B00096S3RC,3
A11D1KHM7DVOQK,B00008VIX2,4
A11D1KHM7DVOQK,B0001NBHMQ,2
A11D1KHM7DVOQK,B00004Z0C2,4
A11D1KHM7DVOQK,B0002NS7UU,2
A11D1KHM7DVOQK,B00096S3UO,4
A11D1KHM7DVOQK,B00005JM55,2
A11D1KHM7DVOQK,B0007PLL5Q,5
A11D1KHM7DVOQK,B0008FPIYU,3
A11D1KHM7DVOQK,B0006BFOZE,1
A11D1KHM7DVOQK,B0002T5AWM,3
A11D1KHM7DVOQK,B000165F3U,5
A11D1KHM7DVOQK,B00006SJXE,2
A11D1KHM7DVOQK,B00006LHRV,2
A11D1KHM7DVOQK,B0007SL2IO,2
A11D1KHM7DVOQK,B0002X94Z2,3
A11D1KHM7DVOQK,B0002ABSP4,3
A11D1KHM7DVOQK,B0000DIZUR,3
A11D1KHM7DVOQK,B0007TKHHK,2
A11D1KHM7DVOQK,B0007WFYDE,2
A11D1KHM7DVOQK,B0001EMM1A,2
A11D1KHM7DVOQK,B0007ZAK4O,5
A11D1KHM7DVOQK,B0001MKU52,3
A11D1KHM7DVOQK,B0007Y4TVK,4
A11D1KHM7DVOQK,B00008RS96,2
A11D1KHM7DVOQK,B00029TN9S,3
A11D1KHM7DVOQK,B00006HMPR,1
A11D1KHM7DVOQK,B0002JUHIY,1
A11D1KHM7DVOQK,B0007P3582,1
A11D1KHM7DVOQK,B00061U64S,5
A11D1KHM7DVOQK,B0007GAERG,2
A11D1KHM7DVOQK,B0002TFZBI,2
A11D1KHM7DVOQK,B0006UXO5C,2
A11D1KHM7DVOQK,B00006IDVA,2
A11D1KHM7DVOQK,B00079GCEC,1
A11D1KHM7DVOQK,B00027IMOM,5
A11D1KHM7DVOQK,B00009APGA,1
A11D1KHM7DVOQK,B0007QJ1PW,4
A11D1KHM7DVOQK,B0000AN4IY,1
A11D1KHM7DVOQK,B00070M20O,2
A11D1KHM7DVOQK,B0000E1717,5
A11D1KHM7DVOQK,B000059L44,1
A11D1KHM7DVOQK,B00004Z672,2
A11D1KHM7DVOQK,B0000AKO2Z,4
A11D1KHM7DVOQK,B0007QS4IC,2
A11D1KHM7DVOQK,B0007R8FBC,2
A11D1KHM7DVOQK,B0000A4G4O,5
A11D1KHM7DVOQK,B0001LD00A,5
A11D1KHM7DVOQK,B0007N1A36,4
A11D1KHM7DVOQK,B00006F7S8,3
A11D1KHM7DVOQK,B000056HGD,1
A11D1KHM7DVOQK,B00000JFKU,2
A11D1KHM7DVOQK,B0002423YK,4
A11D1KHM7DVOQK,B00006LWPU,4
A11D1KHM7DVOQK,B0006YZKDW,5
A11D1KHM7DVOQK,B00006IEEG,3
A11D1KHM7DVOQK,B0007A2GSW,4
A11D1KHM7DVOQK,B000092YR6,5
A11D1KHM7DVOQK,B00009W42S,1
A11D1KHM7DVOQK,B0002KH73Q,1
A11D1KHM7DVOQK,B00061IYFQ,5
A11D1KHM7DVOQK,B00022OAH0,2
A11D1KHM7DVOQK,B00000J1G6,1
A11D1KHM7DVOQK,B00005B8SF,2
A11D1KHM7DVOQK,B0002KW4QQ,5
A11D1KHM7DVOQK,B00006483U,2
A11D1KHM7DVOQK,B000063ENL,4
A11D1KHM7DVOQK,B0000UL2ZC,4
A11D1KHM7DVOQK,B00063F8CQ,3
A11D1KHM7DVOQK,B0002SQ3Z6,3
A11D1KHM7DVOQK,B0007CNY6S,1
A11D1KHM7DVOQK,B00070Q8JK,3
A11D1KHM7DVOQK,B000096BL8,4
A11D1KHM7DVOQK,786804408,2
A11D1KHM7DVOQK,B00000JCTD,4
A11D1KHM7DVOQK,B0002EQUL2,1
A11D1KHM7DVOQK,B0007CNY72,3
A11D1KHM7DVOQK,B0002JUVYE,1
A11D1KHM7DVOQK,B00005QT5J,2
A11D1KHM7DVOQK,B00009EFEK,4
A11D1KHM7DVOQK,B000094JJL,2
A11D1KHM7DVOQK,B00006HMPZ,4
A11D1KHM7DVOQK,B00006B9WE,3
A11D1KHM7DVOQK,B0006V6TIU,2
A11D1KHM7DVOQK,B0002UCJV6,1
A11D1KHM7DVOQK,B00065JTB0,4
A11D1KHM7DVOQK,B0002VAQZQ,4
A11D1KHM7DVOQK,B000083K05,4
A11D1KHM7DVOQK,B000055XZS,2
A11D1KHM7DVOQK,B00005B9W6,1
A11D1KHM7DVOQK,B0009W5JD2,4
A11D1KHM7DVOQK,B000CNGCCK,4
A11D1KHM7DVOQK,B0007Y6AD0,4
A11D1KHM7DVOQK,B000CQQHZ4,3
A11D1KHM7DVOQK,B0005Z8I1S,4
A11D1KHM7DVOQK,B0006JKVF4,3
A11D1KHM7DVOQK,B0005ZUTZ6,4
A11D1KHM7DVOQK,B000BD3YP4,2
A11D1KHM7DVOQK,B000328VP6,2
A11D1KHM7DVOQK,B00032EGGO,5
A11D1KHM7DVOQK,B0002IQA4U,4
A11D1KHM7DVOQK,B000093UQC,4
A11D1KHM7DVOQK,B0002SPPWS,5
A11D1KHM7DVOQK,B0002ZYDKQ,2
A11D1KHM7DVOQK,B0006VHV82,5
A11D1KHM7DVOQK,B00005LOAH,5
A11D1KHM7DVOQK,B0006419IM,2
A11D1KHM7DVOQK,B00006AG1G,3
A11D1KHM7DVOQK,B00004UAL5,5
A11D1KHM7DVOQK,B00005A7JC,4
A11D1KHM7DVOQK,B000067IP2,2
A11D1KHM7DVOQK,B00005BRLJ,1
A11D1KHM7DVOQK,B00005OCMK,4
A11D1KHM7DVOQK,B00005KH2H,2
A11D1KHM7DVOQK,B00001ZWRV,3
A11D1KHM7DVOQK,B00008ZPNR,4
A11D1KHM7DVOQK,B0001G6UCA,4
A11D1KHM7DVOQK,B000658EP2,3
A11D1KHM7DVOQK,B00008Z1PC,3
A11D1KHM7DVOQK,B0002PUGZC,1
A11D1KHM7DVOQK,B00005RFAI,4
A11D1KHM7DVOQK,B0002QO4J0,2
A11D1KHM7DVOQK,B00007G77B,2
A11D1KHM7DVOQK,B00005TQ5M,3
A11D1KHM7DVOQK,B0000Z80AM,3
A11D1KHM7DVOQK,B00009L1RI,2
A11D1KHM7DVOQK,B0000508WP,4
A11D1KHM7DVOQK,B00004TCQ0,2
A11D1KHM7DVOQK,B00002S7WY,4
A11D1KHM7DVOQK,B00064X2QY,3
A11D1KHM7DVOQK,B00065JTAQ,3
A11D1KHM7DVOQK,B00064200S,4
A11D1KHM7DVOQK,B0006B2AFQ,5
A11D1KHM7DVOQK,B0002ZI9DS,3
A11D1KHM7DVOQK,B000654ZBE,3
A11D1KHM7DVOQK,B000659X16,4
A11D1KHM7DVOQK,B00061ESII,5
A11D1KHM7DVOQK,B00005LOW6,1
A11D1KHM7DVOQK,B00008NRM7,5
A11D1KHM7DVOQK,B00061I4MO,1
A11D1KHM7DVOQK,B0003035EK,4
A11D1KHM7DVOQK,B00005OC6F,3
A11D1KHM7DVOQK,B0000668NA,3
A11D1KHM7DVOQK,B00064K2S0,2
A11D1KHM7DVOQK,B0001NBN6Q,3
A11D1KHM7DVOQK,B0000CD5EY,3
A11D1KHM7DVOQK,B00062X5E0,2
A11D1KHM7DVOQK,B0000CBIN7,4
A11D1KHM7DVOQK,B000051XVR,4
A11D1KHM7DVOQK,B00068IOW2,3
A11D1KHM7DVOQK,B000089IYW,4
A11D1KHM7DVOQK,B00064AEJW,3
A11D1KHM7DVOQK,B00009WHW4,3
A11D1KHM7DVOQK,B00000DGOX,3
A11D1KHM7DVOQK,B00000JMYP,3
A11D1KHM7DVOQK,B00009VRDI,3
A11D1KHM7DVOQK,B00008J2EY,5
A11D1KHM7DVOQK,B000066ASO,4
A11D1KHM7DVOQK,B00000JY9M,4
A11D1KHM7DVOQK,B0001WGO2U,3
A11D1KHM7DVOQK,B000038IE0,4
A11D1KHM7DVOQK,B00029RT2G,1
A11D1KHM7DVOQK,B0006399FS,5
A11D1KHM7DVOQK,B0002TUCRU,2
A11D1KHM7DVOQK,B00005JN0Z,1
A11D1KHM7DVOQK,895260174,1
A11D1KHM7DVOQK,B0006A9GE0,2
A11D1KHM7DVOQK,590213113,2
A11D1KHM7DVOQK,B00005J72W,1
A11D1KHM7DVOQK,B0002VL10U,5
A11D1KHM7DVOQK,B0002XVS1K,4
A11D1KHM7DVOQK,B00065GI2I,2
A11D1KHM7DVOQK,B000675KH0,5
A11D1KHM7DVOQK,B00006JKBV,2
A11D1KHM7DVOQK,B000092YPR,4
A11D1KHM7DVOQK,B000040OGV,1
A11D1KHM7DVOQK,B00005O7Y0,1
A11D1KHM7DVOQK,B000066SGX,1
A11D1KHM7DVOQK,B0001FVEGI,2
A11D1KHM7DVOQK,B00005LNDM,1
A11D1KHM7DVOQK,B0002MPQF0,2
A11D1KHM7DVOQK,B0001AP0OK,5
A11D1KHM7DVOQK,B00002NC5I,1
A11D1KHM7DVOQK,B00005UP2H,5
A11D1KHM7DVOQK,B00006I5ST,4
A11D1KHM7DVOQK,B00005LMN0,4
A11D1KHM7DVOQK,B0000SX3BK,2
A11D1KHM7DVOQK,B0002IQA54,5
A11D1KHM7DVOQK,B0002IQA54,5
A11D1KHM7DVOQK,B00001P3XM,4
A11D1KHM7DVOQK,B0000A9BQ4,5
A11D1KHM7DVOQK,B00000DRBV,1
A11D1KHM7DVOQK,B00006JJ5C,5
A11D1KHM7DVOQK,B0002ABV1U,5
A11D1KHM7DVOQK,B0002ABV1U,5
A11D1KHM7DVOQK,B00004ZCP0,5
A11D1KHM7DVOQK,B000035XW8,1
A11D1KHM7DVOQK,B00006OFTZ,4
A11D1KHM7DVOQK,B0002ABV1K,4
A11D1KHM7DVOQK,B0002BO0TY,5
A11D1KHM7DVOQK,B0008GP89E,1
A11D1KHM7DVOQK,B00022TN9A,4
A11D1KHM7DVOQK,B000BKSITO,1
A11D1KHM7DVOQK,B0009PUVH8,4
A11D1KHM7DVOQK,B00005T39Y,4
A11D1KHM7DVOQK,B0007Y79B2,4
A11D1KHM7DVOQK,B0002I5RHG,5
A11D1KHM7DVOQK,B00008VF63,4
A11D1KHM7DVOQK,B0007Y79AI,4
A11D1KHM7DVOQK,B000BVD460,4
A11D1KHM7DVOQK,B00005JMW7,3
A11D1KHM7DVOQK,B0001ZX0OW,5
A11D1KHM7DVOQK,B0001Z3TXE,3
A11D1KHM7DVOQK,B0001GW114,5
A11D1KHM7DVOQK,B0000C1HLG,3
A11D1KHM7DVOQK,B000244FNW,1
A11D1KHM7DVOQK,B00005YKXF,1
A11D1KHM7DVOQK,B00006AW49,2
A11D1KHM7DVOQK,B0001GW114,3
A11D1KHM7DVOQK,B00005QK1Q,5
A11D1KHM7DVOQK,B00002ST53,3
A11D1KHM7DVOQK,B00005NCAD,4
A11D1KHM7DVOQK,B000063WQH,3
A11D1KHM7DVOQK,B000050I3J,4
A11D1KHM7DVOQK,B0000DKDUT,1
A11D1KHM7DVOQK,B0000DD7LB,4
A11D1KHM7DVOQK,B00006FI0T,1
A11D1KHM7DVOQK,B000099T2L,2
A11D1KHM7DVOQK,B00004VXAN,5
A11D1KHM7DVOQK,B0000AHO2T,5
A11D1KHM7DVOQK,B00007M5VJ,4
A11D1KHM7DVOQK,B00008T1U0,2
A11D1KHM7DVOQK,B00009NH8F,4
A11D1KHM7DVOQK,B00006LHZ4,3
A11D1KHM7DVOQK,B00004L8GB,3
A11D1KHM7DVOQK,B00005LQ0B,5
A11D1KHM7DVOQK,B00005YWFF,4
A11D1KHM7DVOQK,B00007JGR4,1
A11D1KHM7DVOQK,B000069JJF,4
A11D1KHM7DVOQK,B00005JL2O,5
A11D1KHM7DVOQK,374332657,5
A11D1KHM7DVOQK,B00008CQUJ,3
A11D1KHM7DVOQK,B00006LHZ4,3
A11D1KHM7DVOQK,B000929AU0,2
A11D1KHM7DVOQK,B00008Z1PT,4
A11D1KHM7DVOQK,B00006IAV5,1
A11D1KHM7DVOQK,B0007PALCU,3
A11D1KHM7DVOQK,B0002858YS,4
A11D1KHM7DVOQK,B000B8QEZG,4
A11D1KHM7DVOQK,B000B8381O,3
A11D1KHM7DVOQK,B000BC8TBY,5
A11D1KHM7DVOQK,B000B66PD4,2
A11D1KHM7DVOQK,B000AV2G2O,3
A11D1KHM7DVOQK,B00009XSXN,4
A11D1KHM7DVOQK,B00009W5QR,1
A11D1KHM7DVOQK,B0002DGAO0,4
A11D1KHM7DVOQK,B000A0GP0Y,2
A11D1KHM7DVOQK,B000ANVQ64,1
A11D1KHM7DVOQK,B000095SB6,1
A11D1KHM7DVOQK,B0000932AM,1
A11D1KHM7DVOQK,B0009WPKY0,3
A11D1KHM7DVOQK,B0002HBTA6,1
A11D1KHM7DVOQK,B0009XFJ0O,3
A11D1KHM7DVOQK,B0009XHPTM,2
A11D1KHM7DVOQK,B0006BBIZO,4
A11D1KHM7DVOQK,B0002MJWPA,1
A11D1KHM7DVOQK,B0007RB1X6,2
A11D1KHM7DVOQK,B0001FV35U,2
A11D1KHM7DVOQK,B00006IBVA,2
A11D1KHM7DVOQK,B00016WNQC,1
A11D1KHM7DVOQK,B000092YR1,4
A11D1KHM7DVOQK,B0009H9PZU,5
A11D1KHM7DVOQK,B0009W5JS2,4
A11D1KHM7DVOQK,B0001CI3IS,1
A11D1KHM7DVOQK,B0005ZGL62,3
A11D1KHM7DVOQK,B0009OPNZO,5
A11D1KHM7DVOQK,B0009CTVLS,1
A11D1KHM7DVOQK,B0007WFYAM,2
A11D1KHM7DVOQK,B0006BFCN8,4
A11D1KHM7DVOQK,B00004Z0BN,3
A11D1KHM7DVOQK,B0001JXAZ2,2
A11D1KHM7DVOQK,B0002OZXHO,2
A11D1KHM7DVOQK,B0009VNC5K,4
A11D1KHM7DVOQK,B00096S3OK,1
A11D1KHM7DVOQK,B0002GMSC0,4
A11D1KHM7DVOQK,B0004LZHL2,5
A11D1KHM7DVOQK,B0009S2TFC,2
A11D1KHM7DVOQK,B0009OPO0I,3
A11D1KHM7DVOQK,B0007TFLLC,4
A11D1KHM7DVOQK,B0009F2BOO,4
A11D1KHM7DVOQK,B0009H9Q04,5
A11D1KHM7DVOQK,B0009FUFPG,5
A11D1KHM7DVOQK,B0009H9Q0E,5
A11D1KHM7DVOQK,B0001F22PA,5
A11D1KHM7DVOQK,B0007G9760,4
A11D1KHM7DVOQK,B0007M6104,4
A11D1KHM7DVOQK,B0002OERI0,2
A11D1KHM7DVOQK,B0006HTPQ2,4
A11D1KHM7DVOQK,B00004YK3G,1
A11D1KHM7DVOQK,B0002RRVQW,2
A11D1KHM7DVOQK,B0009S5QGQ,2
A11D1KHM7DVOQK,B000084FD5,1
A11D1KHM7DVOQK,B000AE9OQW,5
A11NO68VMXYIKK,B000068UY7,5
A11NO68VMXYIKK,B000068UY6,5
A11NO68VMXYIKK,B000068UYB,5
A1240KDIIONFDP,B0009ZBRP8,1
A1240KDIIONFDP,B000ALAGXU,1
A1240KDIIONFDP,B0009ZDAY4,1
A1240KDIIONFDP,B0009ZHEZK,1
A1240KDIIONFDP,B000AQEBAO,1
A1240KDIIONFDP,B0009O7Y1K,1
A1240KDIIONFDP,B0009ZFG32,1
A12C0UER29529W,B0000E6EIN,5
A12C0UER29529W,B0006M32E8,1
A12C0UER29529W,B00005BLYG,1
A12C0UER29529W,B0006M51YC,1
A12C0UER29529W,B0006M51X8,1
A12C0UER29529W,1400051711,5
A12C0UER29529W,B0000E6ZC6,5
A12C0UER29529W,1569877327,3
A12C0UER29529W,B0000AJ3QB,3
A12C0UER29529W,B0001I2C8O,4
A12C0UER29529W,B00008KWO2,5
A12C0UER29529W,B00009QMQV,5
A12C0UER29529W,B0001D12XA,5
A12C0UER29529W,B00009ENC6,5
A12C0UER29529W,B0009F8RB0,2
A12C0UER29529W,B00008614F,4
A12C0UER29529W,B000056JEG,2
A12C0UER29529W,B00069BVEE,5
A12C0UER29529W,375500324,5
A12C0UER29529W,B0006Q5602,5
A12C0UER29529W,B00006FWVR,2
A12C0UER29529W,B000067PXI,5
A12C0UER29529W,B000068NNC,4
A12C0UER29529W,B00004D3EL,3
A12C0UER29529W,B00076DIT2,5
A12C0UER29529W,B00008X35T,2
A12C0UER29529W,B00064NYXU,5
A12C0UER29529W,B00005UMZS,3
A12C0UER29529W,B00005OKQT,5
A12C0UER29529W,B000002BOW,5
A12C0UER29529W,B0001NE1FG,5
A12C0UER29529W,B0002PUCFG,3
A12C0UER29529W,B00005BX8Y,5
A12C0UER29529W,B0006TZD4I,5
A12C0UER29529W,B00005BM9R,4
A12C0UER29529W,B00028YSU8,5
A12C0UER29529W,B0000E2DIJ,5
A12C0UER29529W,B00003TL7P,4
A12C0UER29529W,B000095S69,4
A12C0UER29529W,B000056J9F,4
A12C0UER29529W,B000296DVY,5
A12C0UER29529W,B00005YVRN,5
A12C0UER29529W,B00005Q5DB,4
A12C0UER29529W,B0006B4BVW,5
A12C0UER29529W,B0002L9HGU,5
A12C0UER29529W,B00030IN4W,3
A12C0UER29529W,B0000AJ3QD,2
A12C0UER29529W,B0000AJ3QC,2
A12C0UER29529W,B0000AJ3QF,2
A12C0UER29529W,B00030IN6U,2
A12C0UER29529W,B00030IN60,2
A12C0UER29529W,B000AQHTGC,2
A12C0UER29529W,B0006M60SI,2
A12C0UER29529W,B0006M60T2,2
A12C0UER29529W,B0000AJ3QE,3
A12C0UER29529W,399229191,5
A12C0UER29529W,811818063,4
A12C0UER29529W,1590140044,4
A12C0UER29529W,1590140648,3
A12C0UER29529W,1558584862,2
A12C0UER29529W,1558580093,4
A12C0UER29529W,B00005JLD4,5
A12C0UER29529W,B000A3Q7J0,4
A12C0UER29529W,B0000532RF,5
A12C0UER29529W,B0002L58BI,5
A12C0UER29529W,B0002700T2,5
A12C0UER29529W,B0000479VH,5
A12C0UER29529W,B0009JK3V8,3
A12C0UER29529W,B0007RBPO6,3
A12C0UER29529W,B00021DSSI,3
A12C0UER29529W,152010661,5
A12C0UER29529W,1888444630,4
A12C0UER29529W,B0009JK3VS,4
A12C0UER29529W,B0000AS54S,5
A12C0UER29529W,B00021DSQA,2
A12C0UER29529W,B0002F01TI,3
A12C0UER29529W,B0006GDAYQ,2
A12C0UER29529W,1576751996,5
A12C0UER29529W,B00049QQJQ,5
A12C0UER29529W,B00028NEAI,5
A12C0UER29529W,B00014EB6O,5
A12C0UER29529W,B00007M546,5
A12C0UER29529W,B00009X42F,5
A12C0UER29529W,B0009WY5DC,5
A12C0UER29529W,B000058DR9,5
A12C0UER29529W,B0001MIGBW,4
A12C0UER29529W,B0006M507A,5
A12C0UER29529W,394800168,5
A12C0UER29529W,689824904,2
A12C0UER29529W,B000302A96,5
A12C0UER29529W,B000069EXQ,5
A12C0UER29529W,B00008KWO8,5
A12C0UER29529W,B0008MFDEI,4
A12C0UER29529W,B00020L6W4,5
A12C0UER29529W,B000056HK2,5
A12C0UER29529W,B00008BR9I,4
A12C0UER29529W,B0002PR43O,5
A12C0UER29529W,B0006MJ6IY,5
A12C0UER29529W,395181577,5
A12C0UER29529W,B000060OLA,5
A12C0UER29529W,B0002643LO,4
A12C0UER29529W,B0007U9E0K,5
A12C0UER29529W,B00008NRU0,3
A12C0UER29529W,811842657,4
A12C0UER29529W,B0000A9XYV,5
A12C0UER29529W,B00007B76A,2
A12C0UER29529W,811844056,3
A12C0UER29529W,B0000DJ3FL,3
A12C0UER29529W,976061805,3
A12C0UER29529W,B0006FHFYS,4
A12C0UER29529W,B00000DMCK,5
A12C0UER29529W,B00075RZUG,4
A12C0UER29529W,B00005V9NV,3
A12C0UER29529W,1931499705,5
A12CFVCGT6RPEQ,B00005BWX1,5
A12CFVCGT6RPEQ,B000056HBU,5
A12CFVCGT6RPEQ,B00006C29I,5
A12CFVCGT6RPEQ,B00006JZV5,5
A12CFVCGT6RPEQ,B000070IW1,5
A12CFVCGT6RPEQ,B00004TFYK,5
A12CFVCGT6RPEQ,B00007LP11,5
A12CFVCGT6RPEQ,B0000A9Y1U,5
A12CFVCGT6RPEQ,B0000C4E3M,2
A12CFVCGT6RPEQ,B0000C4E3M,4
A12CFVCGT6RPEQ,B00009NQSY,5
A12CFVCGT6RPEQ,B00009NQSX,5
