id,life_time,max_numOf_reviews_daily,early_review_ratio,rating_distribution,repeated_rating,review_summary_duplicate,helpfulness_score,rating_deviation,clustering_coefficient,betweeness,degree,label
A1IHKEK41DDYPW,2029,4,0.3125,1,0,0.060213078,76,0.5625,0.679802956,0.000100058,29,1
A3IU7IR378D2NI,584,6,0,0.535714286,0,0.041297912,98,0.392857143,0.555696203,8.99E-05,80,0
A118GK08650JY7,1730,4,0.225806452,1,6,0.044763047,35,0.870967742,0.63546798,0.000115657,29,1
A3UISFQMOSZJMO,1369,8,0.240601504,0.69924812,0,0.023655391,2370,0.54887218,0.417881166,0.00413729,224,0
AIH4IHRTIPWQU,255,11,0.285714286,0.5,0,0.02729308,88,0.678571429,0.598870743,0.000483569,182,1
A3FLVJV6C0X64P,238,6,0.25,0.625,0,0.05745351,73,0.625,0.635897436,0.00023127,40,1
A1TCX0R35T4WEH,0,11,0,0.909090909,0,0.047878755,23,0.090909091,0.560994045,0.000955248,296,0
A2JONDXCNHV5Z2,893,10,0.052631579,0.894736842,2,0.034316223,27,0.421052632,0.620794393,0.000972843,321,0
AQSNJ8HQ3WHMS,1574,8,0.342857143,0.857142857,0,0.016934719,3800,0.935714286,0.588505747,0.000172312,30,1
A1ZCYIK3SLXA,1208,4,0.117647059,0.470588235,0,0.03862619,171,0.529411765,0.550015432,0.000802675,242,0
A3HLUNEJUT3MSP,926,8,0.180327869,0.557377049,5,0.019502327,341,0.778688525,0.487567568,0.000814024,75,1
AXCIWNWUYX34N,576,6,0.257142857,0.828571429,0,0.039124243,407,0.657142857,0.675309249,0.000829271,313,1
A15BT7GWK4AAMD,415,7,0.117647059,0.764705882,0,0.042826881,49,0.294117647,0.617598698,0.000926319,351,0
AULTRHI7WN1AH,0,8,0,0.5,0,0.031322105,7,0,0.618196857,0.000233183,156,1
A2TI3FHD95F7LA,171,11,0,0.857142857,0,0.017389853,24,0.428571429,0.628152493,0.000873815,341,0
ANVGQZW0JBUE,1076,10,0.058823529,0.705882353,1,0.039632364,38,0.411764706,0.576410623,0.000456413,212,1
A3I7UQ3R9B4A1Q,0,3,0,0.666666667,0,0.06347272,1,0,0.708320847,0.000135982,142,1
A29M92THMIUJLC,0,3,0,1,0,0,5,0,0.80556194,0.000253864,229,1
A3SQCYXY1RD1WI,1738,3,0,0.846153846,0,0.047412297,6,0.461538462,0.617362612,0.000579988,188,1
AEU30VFAJ4BKS,514,5,0,0.6,0,0.024473869,84,0.4,0.612252125,0.000929135,353,0
A13M2OZU0IWFY8,1602,13,0.203821656,0.426751592,1,0.005087111,133,0.732484076,0.467469515,0.005700421,163,1
AZUER9XCBFHQB,1598,3,0.045454545,0.409090909,0,0.033258804,34,0.318181818,0.684280085,0.000525068,289,1
AZ3SV3IEYI7LE,1,8,0,0.666666667,1,0.052842541,5,0.416666667,0.563517588,0.000543219,200,0
A2N0TKGBWMT01V,230,7,0,0.5,0,0.015343325,5,0.166666667,0.565375683,0.000414674,179,0
A1PZRUO0M31UKM,115,8,0.230769231,0.692307692,0,0.016224288,189,0.461538462,0.648538588,0.000256037,175,0
A39G26LKBXB83D,2394,3,0.473684211,0.552631579,0,0.013172606,222,0.315789474,0.631578947,1.27E-05,20,1
A2D3BPHE38JUHG,345,3,0,1,0,0.018314952,19,0.2,0.795595709,0.000306113,231,1
A2YA7SQ1AS4YDT,47,3,0,0.714285714,0,0.026824719,21,0,0.553422773,0.000353186,171,0
A1TZYJE0LONWUE,0,7,0,0.857142857,0,0,13,0.142857143,0.628420288,0.000776394,311,0
A1C9C1QOQB94RT,692,10,0.185185185,0.296296296,0,0.016010085,759,0.62962963,0.447982229,0.001101145,74,1
A3OU1OR3J7F9Y,1433,3,0.523809524,0.714285714,0,0.035459729,-173,0.761904762,0.509881423,0.000127298,23,0
A1TIGO47NLQTNB,28,7,0.111111111,0.444444444,0,0.170189398,9,0.444444444,0.640956576,0.000820774,332,0
A3MYNR3A5OCOPP,219,2,0,1,0,0.060608136,10,0,0.673758865,1.98E-05,48,1
A23O1A9JCEJFAR,217,4,0,0.3,0,0.050881867,13,0.5,0.702877275,0.000212677,131,0
A1VOOS3JQ0AI8C,790,6,0.166666667,0.9,1,0.049637413,272,0.4,0.543508129,0.001720765,397,0
A2UREP3Z9EU6V5,921,1,0.6,0.8,0,0.080274962,331,0.4,0.713450292,1.01E-05,19,1
A6O8ZHB1FHF05,0,3,0,0.333333333,0,0.074775,1,0,0.701126472,0.000416385,280,1
A3MPA4860SN4AS,2,7,0.125,0.625,0,0.050049261,21,0.25,0.662846957,0.00017304,154,0
A17BDBZWSI3DGC,238,4,0,0.8,1,0.212208954,24,0,0.72745098,7.97E-05,120,1
A2K9LBX0EFCVI0,545,4,0,0.375,0,0.042281677,2,0.25,0.652266725,0.000647648,333,0
A3GVJ88EHS08RZ,2615,2,0.076923077,0.461538462,1,0.027809083,37,0.230769231,0,0,1,1
A3Q0XNQUB1EILY,484,19,0.24,0.88,0,0.038223411,72,0.6,0.558609885,0.000149524,119,0
A2GNU0PNK6FFBZ,191,5,0,0.6,0,0.011065409,20,0.2,0.559870057,0.000558646,199,0
A3KNXWG1ZGUWW2,15,13,0,0.859375,0,0.02806995,266,0.671875,0.519193069,0.000797254,252,0
AHGG8UV27DSUT,546,8,0.058823529,0.705882353,0,0.016113316,197,0.529411765,0.628871391,0.000515417,255,0
AHXVI2A0Y9PE0,743,12,0.25,0.6875,0,0.024685326,97,0.5625,0.572141431,0.001230985,168,0
A2TLDOVBCGKCCU,1567,2,0.115384615,0.692307692,0,0.028885721,75,0.538461538,0.467980296,0.002454,29,0
A18I5YUB8DA136,14,5,0,0.571428571,0,0.035588909,10,0,0.584377784,0.000709275,260,0
AGLDF01JCRKNM,104,1,0,1,0,0.145912957,6,1,0,0,1,1
A1NZ7OILVNER,342,4,0.142857143,0.285714286,0,0.026119495,62,0.285714286,0.589613406,0.004140548,246,0
A2AEZQ3DGBBLPR,1547,9,0.367567568,0.724324324,4,0.018341654,1064,0.724324324,0.398021309,0.001292972,73,0
A1O6769UB30EYT,1118,5,0.090909091,0.909090909,1,0.034106846,49,0.909090909,0.666666667,3.50E-07,4,1
AJLUKM6BMGFUC,79,8,0.047619048,0.619047619,2,0.060577976,48,0.285714286,0.677811056,0.000523784,294,0
A23GHUUZOEVLWL,70,5,0.071428571,0.357142857,0,0.047290257,470,0.214285714,0.601356373,0.000414396,208,0
A12IAAONKCN8MY,35,4,0,1,0,0.032013726,4,0.333333333,0.632743363,0.000138147,113,0
A34H5H19BJFJ0N,658,2,0.066666667,0.866666667,0,0.042180637,61,0.333333333,0.592893707,0.000142302,82,1
A3NUH1FE8DH851,1766,5,0.333333333,0.911111111,0,0.065699451,13,0.822222222,0.526132404,0.000413441,42,0
AIJ3JAT8596TA,981,10,0.126865672,0.425373134,0,0.033074148,270,0.604477612,0.466724985,0.005526109,386,0
AVVME11JLX83E,0,4,0,1,0,0.063887054,1,0.5,0.651178451,3.20E-05,55,1
A17OSNSSB6KKAQ,570,9,0.166666667,0.708333333,0,0.020878962,41,0.375,0.640443717,0.00054029,235,1
ADWZ4I7M2RQUD,0,11,0,1,0,1,27,0,0.636363636,0.000198547,34,1
A2VX8J2HVPUIOE,20,6,0,0.75,0,0.025653815,13,0.125,0.625968861,0.000868025,298,0
A3VQQANHY4TOWH,3,3,0.25,1,0,0,13,0.75,0.777777778,0.000620074,9,1
A1QFSNO1OROH4C,107,7,0,0.571428571,0,0.044626698,13,0.142857143,0.628525896,0.000501266,251,0
AU8XE59FCL364,17,10,0.090909091,0.363636364,0,0.008026963,33,0.090909091,0.639612202,0.00032674,199,0
A1DS0IESVWVVPF,2718,4,0.222222222,0.384615385,0,0.011372602,1380,0.820512821,0.610837438,0.000341907,29,1
A3J2Y2YF2GJYCR,0,11,0.272727273,0.636363636,0,0.032407439,24,0.272727273,0.631013016,0.000829536,342,0
A2SLNJTT9SH2JE,781,7,0.041666667,0.75,0,0.073068456,95,0.375,0.59496601,0.000700084,287,1
A3MA86XP7FF7Y5,656,13,0.1,0.85,0,0.053516781,213,0.5,0.607031857,0.000544228,144,0
A1DPC5FI28WCND,772,8,0,0.75,1,0.065905311,34,0.4375,0.528200505,0.000899027,236,1
A36BTPMVB6B84K,0,7,0,0.428571429,0,0.049840817,1,0.142857143,0.65169669,0.000258818,155,0
A3PP8U6JJEAYT6,1,7,0.125,0.75,0,0.033390903,99,0.25,0.65642861,0.00026649,194,0
A2O104FRC3E7XQ,127,2,0.111111111,0.777777778,0,0.032235123,62,0.333333333,0.628805621,0.000456158,245,0
A1DIZO95XRBLPO,1818,11,0.310344828,0.189655172,0,0.025179595,183,0.672413793,0.578461538,5.86E-05,26,0
A3NBS3YQ372W51,70,17,0.166666667,0.833333333,0,0.034278749,126,0.388888889,0.628975837,0.000783106,315,0
A29G75YOG3SOW2,1814,2,0,0.428571429,0,0.052267435,98,0.857142857,1,0,6,0
A13586UCKKITJZ,1262,11,0.606425703,0.935742972,0,0.019761303,8822,0.975903614,0.607843137,9.40E-05,18,1
ANCTEVATRGO0K,1770,2,0.181818182,0.545454545,0,0.022291979,432,0.727272727,0.464387464,0.00043536,27,0
A1BDNK3GOLPJL3,0,14,0,0.785714286,0,0.0706822,41,0.285714286,0.702311558,0.000252345,200,0
A18HZCWRMROOOO,302,7,0.05,0.75,0,0.027272416,47,0.45,0.557106083,0.00019663,122,1
A3FTI86WAVJOLG,2340,8,0.355932203,0.813559322,0,0.014251014,1273,0.728813559,0.526262626,0.000292009,45,1
A1MJMYLRTZ76ZX,2704,15,0.251577998,0.684400361,24,0.023826498,6674,0.88367899,0.349060376,0.006128017,123,1
AT3BIQE20JP0W,0,7,0,0.571428571,0,0.023285097,18,0,0.576359338,0.000537396,235,0
A2FLG9DZ86YKUH,0,8,0,0.75,0,0.01380282,18,0,0.711364383,0.000258888,207,0
A32AWWM4MZTUCC,1002,3,0.166666667,1,0,0.093589657,21,0.5,0.428571429,0.003416582,14,0
A35U032FGXAEGX,1162,9,0.181818182,0.909090909,0,0.053975069,37,0.545454545,0.749524729,0.00029452,262,0
A2IJN63SOS2GFK,108,5,0.5,1,0,0.137587278,-71,0.5,0.747692308,5.48E-05,26,1
AZTY4WBRB5MAL,1620,11,0.333333333,0.793103448,1,0.070140975,2609,0.793103448,0.515723044,0.003427469,236,0
A3KINZJ0EVPP8J,371,5,0.083333333,0.75,0,0.111184507,29,0.25,0.787208607,0.000229134,239,0
A2OBHC9ED59WO1,1355,3,0.19047619,0.714285714,0,0.027433238,479,0.714285714,0.577075099,0.000134658,23,1
AA5YERAHCEVF7,169,3,0,1,0,0.193015318,22,0.25,0.885714286,9.37E-06,15,1
AZNMO0H76R4RQ,5,4,0,0.6,0,0,6,0.2,0.726003541,0.000383853,263,0
A2VS9IF9ZZ7ELZ,24,2,0,0.333333333,0,0.214818996,7,0,0.727941176,1.69E-05,17,0
AYH260VO0C81O,255,11,0,1,0,0.019831986,35,0.166666667,0.570064095,0.00048444,219,0
A3DP2PYYM7PSRY,658,2,0,0.636363636,0,0.018144082,38,0.636363636,0.575322284,0.000354288,181,0
A11D1KHM7DVOQK,1120,9,0.338557994,0.338557994,3,0.014730206,515,0.420062696,0.352072072,0.004377635,75,1
A189TB7N1DUUXT,0,3,0,0,0,1,6,0.333333333,0.924242424,2.01E-06,12,1
A329BM2DN9OLXD,1516,4,0.311111111,0.533333333,0,0.0498775,111,0.733333333,0.682488243,0.00176722,287,1
A1HH98Z80VWGED,356,4,0,0.666666667,0,0.011513693,15,0.166666667,0.66645332,0.000374606,217,0
A335O0FIKMZJV,25,7,0,0.555555556,0,0.057544971,4,0.222222222,0.670286691,0.000428408,230,0
A2ACJ55JHHJ3FU,1092,34,0.100746269,0.791044776,3,0.01835621,690,0.876865672,0.480652681,0.001253047,66,1
A1P708DJ39TQ4W,55,8,0.111111111,0.666666667,0,0.025708955,24,0.444444444,0.57993921,0.000253133,141,1
A3RYW3OSMMU6SF,749,1,0.222222222,0.666666667,0,0.029598456,83,0.666666667,0.653846154,1.93E-05,13,1
AYWO4G4XS5XC5,221,10,0,0.555555556,0,0.068607883,121,0.166666667,0.516799316,0.000594286,194,1
A1EWQD2XZFUNDA,0,9,0,0.666666667,0,0.039064167,16,0.222222222,0.706183201,0.000453503,303,1
A21UJDL6GPLYIU,0,12,0.083333333,0.666666667,0,0.023227728,28,0.5,0.578456486,0.000433069,175,0
A3KZV3WIH9MIK3,259,11,0.102564103,0.41025641,0,0.017098545,69,0.333333333,0.563467492,0.001237541,323,0
A18JP9X35XF2PU,265,12,0.157894737,0.842105263,1,0.060043774,44,0.368421053,0.620885635,0.000516233,240,0
A29BYXH9OZEK77,963,3,0.181818182,0.909090909,0,0.01557683,54,0.681818182,0.363636364,0.000677441,12,1
A231WM2Z2JL0U3,1923,8,0.293307087,0.513779528,4,0.014125458,6176,0.75,0.247682012,0.019018851,158,1
A31F1G0S4GXAKY,1124,6,0.230769231,0.307692308,0,0.050217616,84,0.615384615,0.705544554,8.37E-05,101,0
ALLHJD3KZF9KC,559,5,0.131147541,0.672131148,0,0.018921186,341,0.639344262,0.516145833,0.00148535,256,0
A14J9L7NII9G5,949,23,0.323529412,0.264705882,0,0.29614826,163,0.088235294,0.4,2.03E-05,5,1
A2MYRQNZM3YVX2,204,5,0,0.454545455,0,0.028711473,43,0.272727273,0.557867537,0.000648774,172,1
A8Z3ZTH2JN0SF,210,8,0,0.444444444,0,0.025461023,33,0.333333333,0.64343408,0.000754934,304,0
A48K4NKMK9X4P,0,8,0.375,1,0,0.008051104,4,1,1,0,4,1
ASDJ52QMLZ81S,0,3,0,0.333333333,0,0.202881102,6,0,0.845548387,4.18E-05,125,1
A1U7LS93I03MFW,2885,11,0.155555556,0.733333333,0,0.057253638,107,0.844444444,0.487179487,0.000106271,13,0
AZK5QC4WZWSYK,0,10,0.1,0.1,0,0.031193393,4,0.2,0.646096683,0.000452343,229,0
A237NWWZHY1W2T,1,15,0.0625,0.4375,0,0.018532576,28,0.25,0.645428852,0.000652301,313,0
A2SRSRCC2TR2GM,73,4,0.1,0.35,0,0.028858961,281,0.4,0.649985072,0.000597421,232,0
A31JRXHMMN8JYX,2,3,0,0.833333333,0,0,4,0.333333333,0.631907558,0.000240799,147,0
A20JYIHL1W1U54,2082,11,0.221957041,0.821002387,3,0.014201495,1959,0.859188544,0.560451977,0.000286799,60,1
A2Q0GC0EVYNCY9,0,7,0,0.714285714,0,0.038127124,16,0.428571429,0.797096453,0.000267847,229,1
ARZMWVPOAYUYK,11,11,0,0.352941176,0,0.094078747,25,0.352941176,0.56562249,0.00069163,250,0
ANK4MDDTG4V98,0,6,0,0.833333333,0,0.079653979,4,0.166666667,0.619459791,0.000327741,181,0
A3BOUPGDLG7QPP,1653,14,0.120805369,0.724832215,1,0.020402799,2453,0.765100671,0.461213892,0.000977408,79,1
A1IANEBSMVGHS9,2355,12,0.205084746,0.627966102,14,0.015226596,4354,0.797457627,0.330096809,0.090137989,529,0
A2HHX876PGDZL,181,16,0,0.6,0,0.035888503,48,0.35,0.621027059,0.000911843,346,0
A24X89F47EHDSX,0,5,0.2,0.6,0,0.017998429,22,0,0.749542871,0.000300198,285,1
A24KGCRNXH9A2Z,156,2,0.090909091,0.909090909,0,0.027027687,8,0.545454545,0.624469413,0.001291483,90,1
AI508TETQZ28W,89,4,0,0.529411765,0,0.029196395,81,0.294117647,0.625207357,0.000503391,236,0
A3RWCJI1QN66W3,0,3,0,1,0,0,3,0,0.740244137,0.000322012,289,0
AZ7I5GAJZA3JO,509,4,0.142857143,0.571428571,1,0.081685898,53,0.357142857,0.602375961,0.000320653,54,1
A2BLITJITO97N5,2811,10,0.205078125,0.454191033,12,0.011737186,-183,0.575048733,0.450913242,0.004730148,73,1
A1Z6Y7YVU3Z7O6,0,3,0,1,0,0,1,0,1,0,8,0
A1GWLHT83J98FN,384,1,0.333333333,0.666666667,0,0.04808805,393,0.666666667,0.593103448,6.84E-05,30,1
A1AIM02PP1FI0M,200,8,0,0.625,0,0.048310878,58,0.375,0.747943059,0.000396781,248,1
A1NOWEOLKMRRXM,2192,14,0.323353293,0.628742515,3,0.025062374,2755,0.847305389,0.402466732,0.001444657,79,0
A2IY49V4ARN4HC,852,4,0.15,0.7,1,0.033193101,1266,0.65,0.488469802,0.027869488,355,0
A8H0L1U33G66R,1887,3,0.136363636,0.5,0,0.02374879,149,0.681818182,0.609930632,0.000398978,166,0
A3PP444YA0Z0KA,1295,7,0.523809524,0.714285714,0,0.019926644,628,0.80952381,0.566666667,7.46E-05,25,1
A22JJMA7YFDUDS,0,9,0,0.444444444,0,0.101719762,64,0.444444444,0.669520199,0.000337753,222,0
A37787I8C184FW,0,6,0.166666667,1,0,1,16,0,0.878787879,4.81E-06,12,1
AM30DRA3YJBEK,645,15,0.157894737,0.578947368,0,0.052835233,40,0.315789474,0.638250978,0.001405773,291,0
A25B4C7DR0Q8WT,952,6,0.117647059,0.823529412,0,0.036414346,40,0.352941176,0.602563391,0.0006463,269,0
A1QDMTY8GQUPKP,0,4,0.5,1,0,0.009753601,16,0,1,0,3,1
A2OLQ18EOBZPE6,1189,2,0.375,0.8125,0,0.030302202,162,0.625,0.567567568,0.000114774,37,1
A17ETLRV8ZM674,1042,7,0.166666667,0.583333333,0,0.065726069,17,0.5,0.596813092,0.001004461,216,1
A30H2335OM7RD6,1974,21,0.252713178,0.772093023,13,0.029106001,4890,0.913178295,0.412880217,0.013677839,242,1
A5FS50VW0GWEE,435,7,0.163265306,0.673469388,0,0.023700262,-38,0.663265306,0.378797468,0.001593123,80,1
AG5MUG0TV9DW0,1665,5,0.083333333,0.75,0,0.107673781,227,0.333333333,0.654036087,0.000660126,325,0
AEK2R52E5WDWD,763,6,0,0.222222222,0,0.00730308,3,0.444444444,0.8,5.16E-06,6,0
